#OTUID	111D	111R	112D	112R	113D	113R	121D	121R	122D	122R	123D	123R	211D	211R	212D	212R	213D	213R	221D	221R	222D	222R	223D	223R	311D	311R	312D	312R	313D	313R	321D	321R	322D	322R	323D	323R	411D	411R	412D	412R	413D	413R	421D	421R	422D	422R	423D	423R	511D	511R	512D	512R	513D	513R	521D	521R	522D	522R	523D	523R	611D	611R	612D	612R	613D	613R	621D	621R	622D	622R	623D	623R
766b061f14af94c8426bcde5cf0cb3b0;size=1704;	0	582	0	0	199	1	0	0	0	0	0	0	3	0	2	2	0	55	0	99	0	2	7	5	1	7	0	0	0	0	0	0	4	0	0	0	0	0	12	72	0	0	0	0	0	26	0	40	29	0	0	0	0	0	0	0	18	102	0	79	0	0	0	0	0	1	79	220	9	28	18	2
4797e7d2f5ab9e4ad3c7239e863be458;size=1693;	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	123	0	0	0	0	0	0	0	0	0	348	0	160	0	0	0	1	7	0	934	0	18	0	11	11	10	0	14	0	28	0	12	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d7267b7fcd2a3b94fcd0965221b063db;size=1682;	0	0	0	0	0	0	0	0	0	5	0	2	0	1477	0	12	0	0	0	17	0	59	0	0	0	0	0	0	0	2	0	0	63	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
e22c481dafcb1e1588f5493304e40846;size=1679;	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	440	0	0	715	0	0	0	0	0	4	0	24	0	0	13	0	434	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
030b112b3ba46cd6ac9415c9eec2cc1d;size=1671;	20	62	8	13	80	53	7	0	24	29	12	11	18	13	4	4	10	18	0	38	13	12	16	8	14	0	38	0	42	12	0	10	13	13	35	6	96	18	57	8	40	160	13	0	38	58	8	12	16	51	12	0	38	40	17	10	0	27	29	0	15	102	18	6	31	24	11	21	0	15	10	14
94303926cac625245079faa7a95c8d63;size=1665;	0	0	3	0	59	0	7	0	181	0	0	0	0	107	4	45	2	0	0	0	55	0	3	0	0	35	0	188	0	21	7	3	18	8	0	0	72	32	12	0	28	0	10	17	16	0	20	38	0	184	0	0	37	0	6	0	125	18	27	0	0	0	0	0	0	22	0	255	0	0	0	0
a824e4440d95f648c7df99a76bcb4378;size=1654;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	745	0	0	0	0	0	862	0	22	0	0	0	0	0	8	0	5	0	0	0
993c2f6e1b2a11e07af41bc0a1622123;size=1646;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	12	58	0	0	317	6	123	328	3	0	784	0	5	0	2	0	0	1	0	0	0	0	0	0
0ad4722aaf14d2d031922cf553e14bdf;size=1612;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	162	0	0	0	0	0	0	0	7	0	29	0	26	0	207	0	6	0	6	1	703	0	11	0	0	0	0	0	190	90	0	161	0	4	0	0	2	0	0	0	0	0	0	0	0	0	0	0
e8c4e157394635dae344274cf54fbaf6;size=1597;	152	8	0	0	64	350	2	3	36	0	0	601	0	0	0	4	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	1	0	0	0	281	58	0	0	0	0	0	0	0	0	0	19	0	0
