#OTUID	111D	111R	112D	112R	113D	113R	121D	121R	122D	122R	123D	123R	211D	211R	212D	212R	213D	213R	221D	221R	222D	222R	223D	223R	311D	311R	312D	312R	313D	313R	321D	321R	322D	322R	323D	323R	411D	411R	412D	412R	413D	413R	421D	421R	422D	422R	423D	423R	511D	511R	512D	512R	513D	513R	521D	521R	522D	522R	523D	523R	611D	611R	612D	612R	613D	613R	621D	621R	622D	622R	623D	623R
f9d2f3a7422644edc4f48b7ff442b281;size=1244;	0	68	0	99	0	0	0	34	0	0	218	382	0	0	0	0	0	9	0	7	0	0	0	30	0	0	0	0	0	0	0	0	0	0	197	17	0	0	0	14	0	0	0	0	0	29	0	0	30	0	0	0	0	0	0	5	0	0	0	9	0	24	0	0	0	0	9	0	30	33	0	0
6ea46ed6aa891e31408e8fb93db35696;size=1241;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	16	0	22	0	23	0	571	0	0	0	9	0	3	0	0	0	0	0	0	588	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
92fb5df40a5a04b0f82fe0a42569cc00;size=1230;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	164	0	0	0	0	0	0	18	0	0	0	0	767	0	178	0	0	0	83	0	20	0	0
390dc1ac5dfd084dd7c7649324f7ab15;size=1217;	0	0	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	1036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ce405a61345d719df20ea835f1b58b2c;size=1207;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	257	0	0	0	0	0	197	0	0	0	382	0	0	9	0	9	0	27	0	40	240	0	0	6	0	0	37	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6228e9749466ea5639aa77e969444111;size=1188;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	252	0	0	0	0	0	0	0	0	0	17	0	627	0	0	0	0	22	0	37	0	77	0	0	0	0	0	59	0	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4aeb9478b68ed5a8a5235f20df6baec4;size=1173;	26	0	0	0	0	0	0	0	0	0	0	0	0	50	4	0	0	0	0	0	83	0	0	88	53	117	0	50	15	0	0	0	0	0	76	0	8	30	0	0	0	70	0	183	75	75	0	93	0	0	0	0	0	0	0	0	0	71	0	0	0	0	0	0	0	0	0	6	0	0	0	0
62786bd977d30867c75a65b943dc1d06;size=1145;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	1038	0	0	0	61	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11e20323c962eddf396b536959881333;size=1133;	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	9	230	0	3	0	14	0	0	0	0	99	0	0	0	0	23	0	0	0	12	0	0	0	0	38	317	0	0	30	0	0	0	0	0	0	0	0	2	0	0	19	244	19	0	0	0	0	0	0	0	0	38	21	0	0	0
58566de01d2af99ce21e9aad9a50fa02;size=1127;	0	67	0	80	357	7	0	0	0	54	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	58	0	65	0	13	0	35	0	0	0	0	0	0	22	0	0	0	0	0	82	121	0	0	7	47	0	0	19	0	39	0	0	0	0	0	0	0	0	0	1	4	0	0	21
4e2c4fc2e77dcaf3cc52c5d7f88b83ab;size=1119;	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	6	410	282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	405	0
d497bbb271376b15c722084fc501766b;size=1104;	0	0	0	7	0	20	0	0	0	0	3	23	0	107	0	8	0	40	0	0	0	0	0	0	41	0	0	0	0	0	37	0	0	0	38	20	20	17	0	16	45	28	7	32	16	0	0	0	25	63	23	26	50	50	16	16	0	37	13	18	11	78	2	10	30	10	0	14	19	26	6	36
ee1ed1fc37ce6163445a032b14f30742;size=1103;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	500	0	0	0	0	0	573	0	12	0	0	0	0	0	0	0	10	0	0	0
0f0fd9ac9c91c3e91cb2eb910b2203dc;size=1091;	13	17	0	0	43	12	0	0	0	34	5	0	18	42	14	8	9	32	3	0	35	8	5	29	15	16	8	0	10	13	0	0	0	11	42	7	65	12	20	25	28	38	46	11	115	47	52	17	15	17	0	5	23	17	8	9	0	28	10	0	0	8	0	0	0	8	0	5	0	8	0	5
5605ec304d7c1cc1cdfc90cbc98c5995;size=1085;	0	0	0	0	0	0	0	0	0	1085	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
