#OTUID	111D	111R	112D	112R	113D	113R	121D	121R	122D	122R	123D	123R	211D	211R	212D	212R	213D	213R	221D	221R	222D	222R	223D	223R	311D	311R	312D	312R	313D	313R	321D	321R	322D	322R	323D	323R	411D	411R	412D	412R	413D	413R	421D	421R	422D	422R	423D	423R	511D	511R	512D	512R	513D	513R	521D	521R	522D	522R	523D	523R	611D	611R	612D	612R	613D	613R	621D	621R	622D	622R	623D	623R
d12a0a80f004df4121cfb8bdbabfd779;size=1148;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	1040	0	0	0	61	0	0	0	0	0	0	18	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
a9e5a6848a77f9f4c3eeb4ca398bbf2d;size=1128;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	129	0	0	0	0	0	0	18	0	0	0	0	769	0	131	0	0	0	60	0	21	0	0
9c8f9e0fe797331416488ab567f53006;size=1127;	0	0	0	0	51	0	12	0	5	270	0	0	0	0	0	0	0	0	38	33	0	48	102	0	0	1	0	0	0	0	0	0	0	0	0	0	0	12	2	0	0	0	0	0	0	0	0	4	0	0	139	0	15	0	0	0	12	374	0	0	0	0	0	0	0	0	0	0	9	0	0	0
69388bee82901489f41c686acb9a035d;size=1127;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87	0	0	0	0	0	0	0	0	0	212	0	111	0	0	0	0	3	0	635	0	11	0	8	9	5	0	12	0	17	0	6	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
559515f969c41264a58c75eb3e150f8b;size=1106;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	503	0	0	0	0	0	578	0	12	0	0	0	0	0	0	0	5	0	0	0
de28d8849c27a3f03e21c28ae8232968;size=1103;	13	18	1	0	37	13	1	0	0	34	5	0	18	42	9	8	9	32	3	0	36	8	5	29	16	16	11	0	11	13	0	0	0	12	42	7	67	12	19	25	28	38	46	11	115	47	52	15	15	17	0	5	25	18	8	9	1	25	11	0	0	8	0	0	11	8	0	5	0	8	0	5
33c2dabed510c32268ac971590bdca9b;size=1092;	0	3	0	7	0	20	0	0	0	0	3	23	0	107	0	8	0	40	0	0	0	0	4	6	41	0	0	0	8	0	37	0	0	0	38	20	17	17	0	0	45	28	0	32	16	0	0	0	25	62	23	26	51	43	16	16	0	37	13	19	11	78	2	10	19	20	0	14	19	26	6	36
13872c8a6cfd48c9dbf43edadfe11022;size=1085;	0	0	0	0	0	0	0	0	0	0	0	0	0	89	0	0	0	0	0	0	981	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c5a5da4ac2ebc2ed51861487969737e5;size=1077;	548	0	0	115	0	159	13	0	0	118	0	0	0	0	5	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	18
35809ff5116b84f5a35de5064f34c2d1;size=1074;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	641	0	0	0	0	0	0	0	0	0	0	0	0	0	52	9	0	229	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	26	29	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0
